feature,importance
H4_candle_range,0.016091603182759484
H4_bb_20_3_width,0.016024071538054786
H4_adx_14,0.01578671822656583
H4_vpt,0.015214963138269174
H4_adx_21,0.015152941652666662
H4_bb_20_2_width,0.015052735603191716
H4_keltner_width,0.01475707871915414
H4_bull_power,0.01434053969982246
H4_std_dev_20,0.01422607197528858
H4_std_dev_50,0.013702994073254723
H4_adx_28,0.013442849900367485
H4_close_position_in_range,0.013389201374847615
H4_dpo,0.013131270069711886
H4_candle_body,0.012768920814152892
H4_atr_14,0.012475267672407794
H4_distance_to_fib_500,0.012436627167055717
H4_distance_to_fib_786,0.01242458500843464
H4_bb_50_2_width,0.012393792628645655
H4_distance_to_fib_618,0.01211450294470047
H4_distance_to_fib_236,0.012066173843195022
H4_cci_20,0.011797452213529135
H4_stoch_21_d,0.01165632008561654
H4_atr_28,0.011633207049962164
H4_mfi,0.011198424061832522
H4_plus_di,0.011154394737984116
H4_bear_power,0.01114764054004253
H4_cci_50,0.01112668062736717
H4_awesome_oscillator,0.010921524133401831
H4_minus_di,0.010485552574120467
H4_ema_20_distance,0.009998905888947572
H4_roc_5,0.009903856280770834
H4_atr_21,0.009803955474665494
H4_vwap,0.009775362879118397
H4_upper_shadow,0.009749931269426443
H4_atr_7,0.009719913382028125
H4_sma_20_distance,0.009666829115831737
H4_macd_fast,0.009641885048424908
H4_ultimate_oscillator,0.009590452319869911
H4_kst_signal,0.009548099659221035
H4_roc_10,0.009432164409001353
H4_ema_200_distance,0.009352728098310493
H4_macd_std_diff,0.009260093158126115
H4_sma_200_distance,0.009258185890021954
H4_lower_shadow,0.00912891790366738
H4_stoch_14_d,0.009105905099671492
H4_rsi_14,0.008923255742889965
H4_cmf,0.008917291220220863
H4_distance_from_high,0.00889867237042772
H4_atr_100,0.008887402027824735
H4_macd_std,0.008807924901971735
H4_macd_fast_signal,0.008546671378553024
H4_aroon_indicator,0.008530290659438519
H4_roc_20,0.008435966606282971
H4_ema_100_distance,0.008416470821448306
H4_obv,0.008379939366797814
H4_body_to_range_ratio,0.008238865065658305
H4_volume_ratio_20,0.008224546665928024
H4_day_of_month,0.00815542534568046
H4_atr_50,0.008096939414946129
H4_rsi_7,0.008022799881128893
H4_distance_to_swing_high,0.00790222484255375
H4_rsi_50,0.007894337220976629
H4_roc_50,0.007888091681721294
H4_roc_1,0.007811725360195743
H4_tsi,0.007780003025147829
H4_distance_to_swing_low,0.007699799872848953
H4_distance_to_fib_382,0.0076102092357068375
H4_kst,0.007545880763848419
H4_williams_r_14,0.007450435750965513
H4_macd_fast_diff,0.0074475302363008495
H4_position_in_swing_range,0.007412237947844678
H4_stoch_14_k,0.007297897159315506
H4_volume_change,0.007229339677222421
H4_ema_50_distance,0.00722770077157408
H4_mass_index,0.007221264283709197
H4_ema_9_distance,0.006985954942298581
H4_rsi_28,0.006617603881064601
H4_macd_std_signal,0.0063620076967740935
H4_williams_r_28,0.006059372479913991
H4_stoch_21_k,0.0060358213656526525
H4_cci_14,0.005828967566146819
H4_swing_low_50,0.005781807419319968
H4_sma_50_distance,0.005769954872161957
H4_rsi_21,0.005667152721748778
H4_bb_20_3_lower,0.005588998410738758
H4_support_2,0.005543227167676527
H4_bb_20_3_upper,0.005502414214640483
H4_resistance_1,0.005212033132694475
H4_aroon_up,0.004995986034105768
close_hour_cos,0.004899922335823805
H4_support_3,0.0048491125492871445
H4_vwap_distance,0.004587854216202831
H4_aroon_down,0.004574421044054156
H4_ichimoku_b,0.004504827419517498
open_hour,0.004449611273080211
close_hour,0.0044443677187787035
open_hour_cos,0.0044286599304651075
H4_support_1,0.004365055104359275
H4_ichimoku_base,0.004359866929510368
H4_bb_20_2_lower,0.004313095972632063
H4_supertrend_upper,0.004245890460615553
close_dow_sin,0.0042420624293092015
hour_of_day,0.004189930619829395
H4_resistance_2,0.004104671095877315
H4_keltner_upper,0.0040088241707968465
H4_psar,0.003972134257058456
H4_supertrend_lower,0.0038722749310765537
open_hour_sin,0.003849649607908666
H4_pivot_point,0.0038103429729940434
H4_ichimoku_conversion,0.0037720375131863296
H4_donchian_lower,0.0037262803796398437
close_hour_sin,0.0037046363729448567
H4_ichimoku_a,0.0036940242302892583
H4_resistance_3,0.0036894977592224253
open_dow_sin,0.003628320359133001
H4_bb_20_2_upper,0.0035870322602021094
H4_donchian_middle,0.0033776912334195462
H4_swing_high_50,0.0032661709430128116
H4_keltner_lower,0.0032573065678112596
open_month,0.0028727797652586644
H4_donchian_upper,0.002847242957626407
H4_day_of_week,0.0022460404472506483
close_month,0.002206503445035596
day_of_week,0.0020558590342847063
open_dow_cos,0.0019474107222886919
open_dow,0.0018805768073530058
H4_hour_of_day,0.001846945229532125
close_dow,0.0014166170692516788
close_dow_cos,0.0013004220433341237
H4_is_ny_session,0.0008332413022266436
H4_is_asian_session,0.0005753183673141501
H4_is_bullish,0.000550881572770953
H4_is_london_session,0.0004851367367760207
H4_psar_signal,0.00045323173057589005
H4_ema_50_above_200,0.00026668732673620194
H4_ema_20_above_50,0.00017822120549284426
H4_ema_9_above_20,0.00012564361547670567
H4_ema_9_above_200,0.00012423080611672577
H4_is_weekend,0.00010595046896155772
H4_price_above_cloud,1.7543507250026995e-06
trade_direction,0.0
